Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,non_active,cycle_added_unweighted,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups
E02005942,E02005954,43,0,0,1,4,0,1,26,2,8,1,0,6118.388689736023,0.00947974288821826,0.18604651162790697,0.20419122766346576,0.9111386113733364,34,6.9425017405578355,7.0356616138356385,15,0.3488372093023256,6.1183886897360225,"(6,7]"
E02005942,E02005955,37,0,0,0,4,0,1,24,1,6,1,0,7018.633030731437,0.006158607799029989,0.16216216216216217,0.17903773241385285,0.9057429401938463,30,5.3711319724155855,5.44320598731794,11,0.2972972972972973,7.018633030731437,"(7,8]"
E02005942,E02005979,30,0,0,0,0,0,1,19,0,9,1,0,5378.265597090225,0.014413331336622707,0.3,0.21194396686657713,1.4154684581743997,20,2.99468300607605,3.0348679854651683,12,0.4,5.378265597090225,"(5,6]"
E02005943,E02005940,18,0,0,0,4,0,0,10,0,4,0,0,4656.556097260135,0.015119674882510429,0.2222222222222222,0.2341334759383573,0.9491262252508006,14,3.277868663137002,3.321853647324357,7,0.3888888888888889,4.656556097260135,"(4,5]"
E02005943,E02005941,44,0,0,0,2,0,0,17,4,19,2,0,3602.4583404123723,0.014688252637309673,0.4318181818181818,0.2641119917713671,1.6349813536372566,23,3.715379259358314,3.765235100079066,23,0.5227272727272727,3.6024583404123725,"(3,4]"
E02005943,E02005942,80,0,0,0,3,0,1,31,1,41,3,0,3080.405548741078,0.006805665933114999,0.5125,0.31512279430959944,1.6263501379607685,36,6.975386376128087,7.068987520952804,48,0.6,3.0804055487410777,"(3,4]"
E02005943,E02005943,84,0,0,0,4,0,2,24,0,21,33,0,0,0.009701158651086722,0.25,0.04225297585313103,5.9167430211066305,30,0.21423767621343287,0.2171124835254395,21,0.25,0,NA
E02005943,E02005944,11,0,0,0,3,0,0,7,1,0,0,0,3121.0865515213422,0.017152936587829612,0,0.25772320290264034,0,11,2.834955231929044,2.872996860152465,3,0.2727272727272727,3.1210865515213424,"(3,4]"
E02005943,E02005945,384,0,0,2,48,1,2,81,25,106,119,0,1384.2714366212645,0.009706803745745847,0.2760416666666667,0.2591310118093065,1.065259093225803,159,38.6777556180374,39.19676374316272,145,0.3776041666666667,1.3842714366212645,"(1,2]"
E02005943,E02005946,32,0,0,0,10,0,0,12,1,5,4,0,3328.1176608097,0.01343023261527192,0.15625,0.27519903651108674,0.5677708831429912,23,6.329577839754995,6.414513024719915,11,0.34375,3.3281176608096996,"(3,4]"
