Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,non_active,cycle_added_unweighted,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups
E02005186,E02005178,355,0,0,1,50,5,4,235,38,4,18,0,5448.241392983171,0.029881950840644385,0.011267605633802818,0.014431709903948486,0.7807533347604239,333,4.805759398014846,43.96060788177633,48,0.1352112676056338,5.448241392983171,"(5,6]"
E02005186,E02005179,150,0,0,0,6,0,0,91,16,6,31,0,2173.4477025839233,0.030666011237987085,0.04,0.014763570306103558,2.7093717285623784,113,0.6157454981177171,5.632522179304988,12,0.08,2.1734477025839234,"(2,3]"
E02005186,E02005180,20,0,0,0,1,1,0,12,4,0,2,0,2716.17753839478,0.046646997961356226,0,0.009821798537634168,0,18,0.17679237367741502,1.6172054345732996,2,0.1,2.7161775383947804,"(2,3]"
E02005186,E02005181,54,0,0,0,1,0,0,37,6,1,9,0,2935.8270877367936,0.029411257520927884,0.018518518518518517,0.014672004222326243,1.2621669294736892,44,0.5114760739703029,4.678719275460792,6,0.1111111111111111,2.9358270877367936,"(2,3]"
E02005186,E02005182,57,0,0,1,2,0,2,44,7,0,1,0,5911.8880297855885,0.02617174061772407,0,0.01592550993476064,0,56,0.891828556346596,8.15798757622328,8,0.14035087719298245,5.9118880297855885,"(5,6]"
E02005186,E02005183,12,0,0,0,0,0,0,12,0,0,0,0,6638.473296849606,0.028639559822539438,0,0.015351375591044337,0,12,0.18421650709253204,1.6851175772533449,2,0.16666666666666666,6.6384732968496065,"(6,7]"
E02005186,E02005185,131,0,0,1,1,0,1,104,13,1,10,0,3176.070538450435,0.029825779573982514,0.007633587786259542,0.014429551384128186,0.5290246095007584,120,1.7315461660953824,15.83929109483835,17,0.1297709923664122,3.176070538450435,"(3,4]"
E02005186,E02005186,228,0,0,0,3,1,0,168,15,7,34,0,0,0.025826613322167978,0.03070175438596491,0.031151056599208613,0.9855766621651249,187,5.82524758405201,53.286359896119016,60,0.2631578947368421,0,NA
E02005186,E02006881,68,0,0,0,5,1,0,48,7,2,5,0,4516.906857523442,0.02793247311170173,0.029411764705882353,0.01492798084709725,1.9702440006547488,61,0.462179725643281,4.227781710899643,6,0.08823529411764706,4.516906857523442,"(4,5]"
E02006881,E02005176,84,0,0,0,8,4,1,48,10,5,7,1,5732.718940823656,0.024080391809922795,0.05952380952380952,0.01665889643061072,3.57309439864423,72,0.3356867771137214,3.070689470198893,8,0.09523809523809523,5.7327189408236565,"(5,6]"
E02006881,E02005177,178,0,0,0,21,1,2,117,21,3,13,0,4696.212086948478,0.028409904890645165,0.016853932584269662,0.014779699343376754,1.1403433989218756,162,2.0996405958860356,19.206429053966566,22,0.12359550561797752,4.696212086948478,"(4,5]"
E02006881,E02005178,703,0,0,2,67,15,7,332,78,4,198,0,3265.3116637069224,0.030666011237987085,0.005689900426742532,0.014115534130357417,0.4030949430744963,501,7.071882599309066,64.68993392856964,69,0.09815078236130868,3.2653116637069224,"(3,4]"
E02006881,E02005179,83,0,0,0,3,3,1,59,12,1,4,0,5427.893700247469,0.029881950840644385,0.012048192771084338,0.014425861332770027,0.835180131928446,78,1.125217183956062,10.292906346115046,11,0.13253012048192772,5.427893700247469,"(5,6]"
