Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02002887,E02002898,140,0,0,0,45,0,4,55,18,12,6,0,4248.351593605291,0.0260711173109222,0.08571428571428572,0.10454719290641758,0.8198621438933363,13,25,0.17857142857142858,4.248351593605291,4-5 km,4-6 km
E02002887,E02002899,41,0,0,0,9,0,0,15,2,8,7,0,3923.2095369804874,0.027171408228573248,0.1951219512195122,0.10651207260876609,1.8319233345146022,4,12,0.2926829268292683,3.9232095369804876,3-4 km,2-4 km
E02002887,E02006904,155,0,4,1,80,3,0,48,7,4,7,1,6125.672332206132,0.039042428419654725,0.025806451612903226,0.08744133030008448,0.29512876261534066,13,17,0.10967741935483871,6.125672332206132,6-7 km,6-8 km
E02002887,E02006905,73,0,0,0,13,1,0,48,6,2,3,0,6214.807319758384,0.03663832296233377,0.0273972602739726,0.08664037265405995,0.31621817213742986,6,8,0.1095890410958904,6.214807319758385,6-7 km,6-8 km
E02002888,E02002872,23,0,7,0,5,0,0,5,4,2,0,0,7506.269034668249,0.030172960938831653,0.08695652173913043,0.07408939594874073,1.1736702752886785,2,4,0.17391304347826086,7.506269034668249,7-8 km,6-8 km
E02002888,E02002874,32,0,0,1,15,0,0,12,0,1,3,0,3712.9773039448396,0.023131321301505733,0.03125,0.10772895962676177,0.2900798458303959,3,4,0.125,3.7129773039448395,3-4 km,2-4 km
E02002888,E02002876,14,0,0,0,6,0,0,5,2,0,1,0,5445.516773704474,0.02606631409268853,0,0.09452983721511005,0,1,1,0.07142857142857142,5.445516773704474,5-6 km,4-6 km
E02002888,E02002877,22,0,0,0,7,0,0,8,2,1,4,0,2988.06655033634,0.04654930067704638,0.045454545454545456,0.10847587608064374,0.41902906984363403,2,3,0.13636363636363635,2.98806655033634,2-3 km,2-4 km
E02002888,E02002879,19,0,0,0,4,0,0,11,2,1,1,0,3556.283098067724,0.02884993734396117,0.05263157894736842,0.10813891250687989,0.48670342365445884,2,3,0.15789473684210525,3.5562830980677242,3-4 km,2-4 km
E02002888,E02002881,14,0,0,0,4,0,0,9,1,0,0,0,7327.168169175747,0.02608217839978089,0,0.07595232999021113,0,1,1,0.07142857142857142,7.327168169175747,7-8 km,6-8 km
E02002888,E02002882,32,0,0,0,8,0,0,9,0,0,15,0,1481.2303798334356,0.02603849260418442,0,0.09628831559204531,0,3,3,0.09375,1.4812303798334356,1-2 km,0-2 km
E02002888,E02002883,33,0,0,0,3,0,0,17,1,1,11,0,672.7319324844073,0.02727208210147274,0.030303030303030304,0.07218637133991507,0.41978880141152636,2,3,0.09090909090909091,0.6727319324844072,0-1 km,0-2 km
E02002888,E02002884,38,0,0,1,10,0,0,16,5,1,5,0,2416.7289092201345,0.02400841950301631,0.02631578947368421,0.10775117536590394,0.24422740062296713,4,5,0.13157894736842105,2.4167289092201343,2-3 km,2-4 km
E02002888,E02002885,21,0,3,0,1,1,0,7,4,0,5,0,3362.865337098427,0.029791222136539855,0,0.10869706814029773,0,2,2,0.09523809523809523,3.362865337098427,3-4 km,2-4 km
E02002888,E02002886,21,0,0,0,6,0,0,11,0,1,2,1,4572.906269695263,0.017256220216077225,0.047619047619047616,0.10251489599292124,0.4645085688067787,2,3,0.14285714285714285,4.572906269695263,4-5 km,4-6 km
E02002888,E02002887,12,0,0,0,4,0,0,5,2,1,0,0,6538.336585129689,0.020448360939815054,0.08333333333333333,0.08396323892998214,0.9924978406660313,1,2,0.16666666666666666,6.53833658512969,6-7 km,6-8 km
E02002888,E02002888,125,0,1,0,20,1,0,35,5,0,63,0,0,0.0215521617428469,0,0.021368933190758038,0,3,3,0.024,0,NA,NA
E02002888,E02002889,97,0,2,1,41,0,0,15,3,1,34,0,2369.2466890695796,0.032446329481127745,0.010309278350515464,0.1071438596205086,0.09621903100214757,10,11,0.1134020618556701,2.3692466890695796,2-3 km,2-4 km
E02002888,E02002890,173,0,1,0,49,4,0,38,2,5,73,1,951.9467986231662,0.03377832967773435,0.028901734104046242,0.08237989261353791,0.35083481159207863,14,19,0.10982658959537572,0.9519467986231661,0-1 km,0-2 km
E02002888,E02002893,31,0,0,0,7,0,0,11,0,1,12,0,3673.2104430013983,0.0241414429934406,0.03225806451612903,0.10786321179697304,0.29906456500523276,3,4,0.12903225806451613,3.6732104430013983,3-4 km,2-4 km
E02002888,E02002895,60,0,1,0,19,1,0,14,3,2,20,0,3271.631990517917,0.02735002648512772,0.03333333333333333,0.10899442823413005,0.3058260304988276,6,8,0.13333333333333333,3.271631990517917,3-4 km,2-4 km
E02002888,E02002896,65,0,0,0,15,1,0,17,3,2,27,0,1900.486849082192,0.02536965426909869,0.03076923076923077,0.1030586692613655,0.298560334513901,6,8,0.12307692307692308,1.900486849082192,1-2 km,0-2 km
