Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,city_origin,city_dest
E02002878,E02002871,19,0,0,0,3,0,0,8,2,2,4,0,Nottingham,Nottingham
E02002878,E02002872,72,0,2,0,10,1,0,36,4,2,17,0,Nottingham,Nottingham
E02002878,E02002874,52,0,0,0,20,0,0,22,5,1,4,0,Nottingham,Nottingham
E02002878,E02002875,30,0,4,1,3,1,0,13,2,2,4,0,Nottingham,Nottingham
E02002878,E02002876,46,0,0,0,5,1,0,19,2,1,18,0,Nottingham,Nottingham
E02002878,E02002877,18,0,1,0,7,0,0,10,0,0,0,0,Nottingham,Nottingham
E02002878,E02002878,106,0,0,1,11,1,1,20,12,3,57,0,Nottingham,Nottingham
E02002878,E02002879,38,0,1,0,9,0,1,22,2,1,2,0,Nottingham,Nottingham
E02002878,E02002881,62,0,1,0,3,1,0,21,5,3,28,0,Nottingham,Nottingham
E02002878,E02002882,13,0,0,0,4,0,0,8,0,1,0,0,Nottingham,Nottingham
E02002878,E02002884,33,0,2,0,8,0,0,16,4,2,1,0,Nottingham,Nottingham
E02002878,E02002885,52,0,3,0,21,0,0,15,6,2,5,0,Nottingham,Nottingham
E02002878,E02002886,40,0,0,0,12,1,2,14,2,4,5,0,Nottingham,Nottingham
E02002878,E02002887,90,0,1,0,10,3,1,25,6,4,40,0,Nottingham,Nottingham
E02002878,E02002888,16,0,0,0,4,0,1,8,2,1,0,0,Nottingham,Nottingham
E02002878,E02002889,62,0,4,0,26,0,0,25,3,2,2,0,Nottingham,Nottingham
E02002878,E02002890,86,0,4,0,46,0,0,28,2,0,6,0,Nottingham,Nottingham
E02002878,E02002892,67,0,0,0,22,1,1,30,2,6,5,0,Nottingham,Nottingham
E02002878,E02002893,52,0,0,0,22,0,0,22,7,1,0,0,Nottingham,Nottingham
E02002878,E02002894,14,0,0,0,5,0,0,7,0,0,2,0,Nottingham,Nottingham
E02002878,E02002895,37,0,2,0,19,0,0,12,0,2,2,0,Nottingham,Nottingham
E02002878,E02002896,38,0,0,0,11,0,1,21,3,1,1,0,Nottingham,Nottingham
E02002878,E02002898,158,0,0,1,53,0,3,72,11,13,5,0,Nottingham,Nottingham
E02002878,E02002899,24,0,0,0,10,0,1,9,1,1,1,1,Nottingham,Nottingham
E02002878,E02006904,193,0,24,1,85,2,5,59,4,3,9,1,Nottingham,Nottingham
E02002878,E02006905,63,0,1,0,18,0,2,30,10,1,1,0,Nottingham,Nottingham
E02002879,E02002868,11,0,0,0,2,0,0,8,1,0,0,0,Nottingham,Nottingham
E02002879,E02002869,42,0,1,0,11,0,0,20,6,0,2,2,Nottingham,Nottingham
E02002879,E02002871,26,0,0,0,3,0,1,19,1,2,0,0,Nottingham,Nottingham
E02002879,E02002872,55,0,3,0,16,1,0,29,0,2,4,0,Nottingham,Nottingham
E02002879,E02002874,175,0,0,0,20,1,0,59,4,9,81,1,Nottingham,Nottingham
E02002879,E02002875,38,0,0,0,3,0,0,16,3,1,14,1,Nottingham,Nottingham
