Area of residence,Area of workplace,potential_demand
E02002897,E02002879,4
E02002897,E02002881,2
E02002897,E02002884,2
E02002897,E02002885,3
E02002897,E02002886,9
E02002897,E02002887,6
E02002897,E02002888,1
E02002897,E02002889,11
E02002897,E02002890,8
E02002897,E02002892,9
E02002897,E02002893,3
E02002897,E02002894,5
E02002897,E02002895,11
E02002897,E02002896,2
E02002897,E02002897,11
E02002897,E02002898,53
E02002897,E02002899,45
E02002897,E02006904,43
E02002897,E02006905,9
E02002898,E02002872,1
E02002898,E02002874,4
E02002898,E02002876,1
E02002898,E02002879,3
E02002898,E02002881,3
E02002898,E02002882,2
E02002898,E02002884,2
E02002898,E02002885,5
E02002898,E02002886,2
E02002898,E02002889,13
E02002898,E02002890,15
E02002898,E02002892,2
E02002898,E02002893,3
E02002898,E02002895,11
E02002898,E02002896,5
E02002898,E02002898,35
E02002898,E02002899,85
E02002898,E02006904,55
E02002898,E02006905,25
E02002899,E02002874,3
E02002899,E02002879,1
E02002899,E02002885,2
E02002899,E02002887,2
E02002899,E02002889,6
E02002899,E02002890,9
E02002899,E02002892,2
E02002899,E02002893,3
E02002899,E02002894,3
E02002899,E02002895,6
E02002899,E02002896,2
E02002899,E02002897,2
E02002899,E02002898,37
E02002899,E02002899,41
E02002899,E02006904,23
E02002899,E02006905,11
E02006834,E02002868,8
E02006834,E02002869,11
E02006834,E02002871,4
E02006834,E02002872,10
E02006834,E02002873,3
E02006834,E02002874,27
E02006834,E02002875,6
E02006834,E02002876,6
E02006834,E02002877,4
E02006834,E02002879,7
E02006834,E02002881,2
E02006834,E02002882,2
E02006834,E02002883,2
E02006834,E02002884,2
E02006834,E02002885,4
E02006834,E02002886,3
E02006834,E02002888,2
E02006834,E02002889,5
E02006834,E02002890,10
E02006834,E02002891,2
E02006834,E02002892,1
E02006834,E02002893,2
E02006834,E02002895,4
E02006834,E02002896,5
E02006834,E02002898,12
E02006834,E02002899,3
E02006834,E02006834,5
E02006834,E02006835,3
E02006834,E02006904,18
E02006834,E02006905,6
E02006835,E02002868,4
E02006835,E02002869,8
E02006835,E02002871,2
E02006835,E02002872,5
E02006835,E02002874,18
E02006835,E02002875,3
E02006835,E02002876,2
E02006835,E02002877,3
E02006835,E02002879,4
E02006835,E02002881,2
E02006835,E02002882,1
E02006835,E02002883,1
E02006835,E02002884,4
E02006835,E02002885,3
E02006835,E02002886,1
E02006835,E02002887,1
E02006835,E02002888,1
E02006835,E02002889,4
E02006835,E02002890,6
E02006835,E02002892,1
E02006835,E02002893,2
E02006835,E02002895,4
E02006835,E02002896,2
E02006835,E02002898,5
E02006835,E02002899,3
E02006835,E02006834,4
E02006835,E02006835,3
E02006835,E02006904,12
E02006835,E02006905,4
E02006904,E02002872,1
E02006904,E02002874,4
E02006904,E02002879,3
E02006904,E02002884,3
E02006904,E02002885,2
E02006904,E02002886,2
E02006904,E02002887,3
E02006904,E02002889,21
E02006904,E02002890,19
E02006904,E02002892,2
E02006904,E02002893,3
E02006904,E02002895,19
E02006904,E02002896,18
E02006904,E02002898,37
E02006904,E02002899,25
E02006904,E02006904,32
E02006904,E02006905,27
E02006905,E02002869,1
E02006905,E02002872,1
E02006905,E02002874,3
E02006905,E02002877,1
E02006905,E02002879,2
E02006905,E02002881,1
E02006905,E02002884,2
E02006905,E02002885,1
E02006905,E02002887,2
E02006905,E02002888,3
E02006905,E02002889,15
E02006905,E02002890,16
E02006905,E02002892,1
E02006905,E02002893,4
E02006905,E02002895,14
E02006905,E02002896,7
E02006905,E02002898,47
E02006905,E02002899,17
E02006905,E02006904,58
E02006905,E02006905,36
