geo_code1,geo_code2,all,bicycle,foot,dist,slope
E02000001,E02000372,125,4,0,12.4,1.02
E02000001,E02000373,58,2,2,12.5,1.06
E02000001,E02000374,198,15,7,12.8,1.17
E02000001,E02000375,232,16,7,11.8,1.25
E02000001,E02000376,269,14,9,12.1,1.24
E02000001,E02000377,229,20,4,12.8,1.19
E02000001,E02000378,367,22,10,11.1,1.3
E02000001,E02000379,247,23,1,13.6,1.21
E02000001,E02000380,252,19,1,11.9,1.31
E02000001,E02000381,468,29,4,10.8,1.36
E02000001,E02000382,197,19,4,12.3,1.32
E02000001,E02000383,417,22,4,10.1,1.49
E02000001,E02000384,227,13,2,11.1,1.41
E02000001,E02000385,489,34,0,10.1,1.47
E02000001,E02000386,270,21,2,10.1,1.35
E02000001,E02000387,220,21,1,11,1.28
E02000001,E02000388,542,36,2,9.94,1.36
E02000001,E02000389,393,39,1,11.4,1.26
E02000001,E02000390,395,39,3,10.7,1.27
E02000001,E02000391,521,34,6,9.53,1.23
E02000001,E02000392,707,48,2,11,1.23
E02000001,E02000393,459,31,1,11.3,1.21
E02000001,E02000394,382,23,2,10.1,1.97
E02000001,E02000395,475,29,1,10.9,1.11
E02000001,E02000396,327,32,3,10.5,1.14
E02000001,E02000397,201,5,0,11.9,1.53
E02000001,E02000398,48,0,0,11.2,0.73
E02000001,E02000400,175,4,0,11.9,1.53
E02000001,E02000401,42,2,1,11.7,0.85
E02000001,E02000402,53,2,0,11.1,0.85
E02000001,E02000403,175,4,0,11,1.54
E02000001,E02000404,105,3,0,11.1,1.44
E02000001,E02000405,239,16,2,11.5,1.79
E02000001,E02000406,125,7,1,10.5,1.47
E02000001,E02000407,82,8,0,9.96,0.87
E02000001,E02000408,58,1,0,9.82,0.79
E02000001,E02000409,69,5,0,10.1,0.93
E02000001,E02000410,203,14,3,10.3,2.04
E02000001,E02000411,97,5,0,10.3,0.73
E02000001,E02000412,125,1,0,9.75,1.53
E02000001,E02000413,251,20,1,10.4,1.99
E02000001,E02000414,128,14,0,9.5,0.82
E02000001,E02000415,135,7,0,10.1,0.89
E02000001,E02000416,278,21,2,9.38,1.88
E02000001,E02000417,284,38,1,9.7,2.07
E02000001,E02000418,188,17,5,9.74,1.72
E02000001,E02000419,235,31,4,8.99,1.61
E02000001,E02000420,112,9,1,8.78,0.77
E02000001,E02000421,100,6,0,8.68,0.8
E02000001,E02000422,102,3,1,8.85,0.85
E02000001,E02000423,162,12,1,8.6,0.96
E02000001,E02000424,267,19,2,8.26,1.77
E02000001,E02000425,102,7,4,7.81,0.74
E02000001,E02000426,312,19,1,8.92,1.94
E02000001,E02000427,244,23,0,8.02,0.97
E02000001,E02000428,106,7,1,8.19,0.71
E02000001,E02000429,363,31,1,7.85,1.54
E02000001,E02000430,304,23,5,8.11,1.66
E02000001,E02000431,445,40,1,7.69,1.7
E02000001,E02000432,214,20,2,7.14,1.39
E02000001,E02000439,95,1,1,19,1.6
E02000001,E02000442,107,0,0,19.2,1.62
E02000001,E02000449,110,0,1,19.5,1.66
E02000001,E02000526,355,24,0,12.9,1.25
E02000001,E02000528,129,3,2,16.9,1.21
E02000001,E02000531,118,3,3,17.6,1.18
E02000001,E02000532,291,17,0,13.6,1.22
E02000001,E02000533,277,13,3,15,1.13
E02000001,E02000534,130,0,1,19.7,1.18
E02000001,E02000554,227,33,4,6.86,1.08
E02000001,E02000555,293,34,4,7.03,1.24
E02000001,E02000556,303,42,4,6.2,1.06
E02000001,E02000557,231,35,1,6.82,1.2
E02000001,E02000558,157,20,3,5.82,1.05
E02000001,E02000559,602,65,8,5.34,1.33
E02000001,E02000560,304,29,10,5.56,0.95
E02000001,E02000561,323,50,5,6.48,1.11
E02000001,E02000562,390,62,19,4.86,1.21
E02000001,E02000563,213,30,8,5.77,1.21
E02000001,E02000564,617,56,34,4.71,0.96
E02000001,E02000565,322,37,19,4.82,0.6
E02000001,E02000566,671,109,53,4.01,1.1
E02000001,E02000567,756,93,117,3.67,0.93
E02000001,E02000568,268,21,26,4.04,1.54
E02000001,E02000569,685,54,112,3.4,0.97
E02000001,E02000570,872,98,214,3.58,1.09
E02000001,E02000571,591,57,183,2.63,0.95
E02000001,E02000572,278,25,57,3.11,1.48
E02000001,E02000573,999,98,362,2.19,1.19
E02000001,E02000574,638,66,236,2.46,1.55
E02000001,E02000575,1385,100,974,1.19,1.17
E02000001,E02000576,909,48,678,1.11,0.81
E02000001,E02000577,108,5,2,9.86,1.05
E02000001,E02000578,104,2,2,10.7,1.07
E02000001,E02000579,309,22,2,10.4,1.11
E02000001,E02000580,413,22,8,9.27,1.1
E02000001,E02000581,176,13,1,10.3,1.11
E02000001,E02000582,696,10,5,9.47,1.39
E02000001,E02000583,540,20,3,10.3,1.41
E02000001,E02000584,688,32,9,9.05,1.63
E02000001,E02000585,514,16,3,10.2,1.56
E02000001,E02000586,705,23,6,8,1.66
E02000001,E02000587,574,24,9,9.21,1.6
E02000001,E02000588,741,14,19,6.63,1.72
E02000001,E02000589,746,13,4,8.27,1.54
E02000001,E02000590,491,4,4,7.6,1.56
E02000001,E02000591,402,11,0,9.02,1.43
E02000001,E02000592,790,17,8,8.12,1.52
E02000001,E02000593,646,23,2,8.91,1.45
E02000001,E02000594,546,17,8,7.43,1.48
