Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02001045,E02001059,44,0,0,0,4,2,0,28,3,3,4,0,7882.101589049438,0.01943374887424544,0.06818181818181818,0.031433045154489865,2.169112723463866,1,4,0.09090909090909091,7.882101589049438,7-8 km,6-8 km
E02001045,E02001062,56,0,1,0,10,0,3,35,3,1,3,0,9030.434547023317,0.01875117546143158,0.017857142857142856,0.027455832606566467,0.6503952407137003,2,3,0.05357142857142857,9.030434547023317,9-10 km,8-10 km
E02001045,E02001063,18,0,0,1,4,0,0,11,2,0,0,0,9498.55478722186,0.01953163974616509,0,0.0248109758800071,0,0,0,0,9.49855478722186,9-10 km,8-10 km
E02001045,E02001064,26,0,0,0,8,1,0,13,1,1,2,0,10898.260930757908,0.0252181079573662,0.038461538461538464,0.015862650315117213,2.4246602993501254,0,1,0.038461538461538464,10.898260930757909,10-11 km,10-11 km
E02001045,E02001066,33,0,2,0,13,0,0,16,2,0,0,0,10657.581891157814,0.02252021415412519,0,0.018460293329889473,0,1,1,0.030303030303030304,10.657581891157813,10-11 km,10-11 km
E02001045,E02001259,15,0,1,0,2,0,1,10,1,0,0,0,10242.383148178074,0.0208168613776809,0,0.021089127646841423,0,0,0,0,10.242383148178074,10-11 km,10-11 km
E02001045,E02006902,218,0,17,2,98,0,1,79,16,2,3,0,6527.477208419832,0.02205366947439936,0.009174311926605505,0.033919361053010987,0.27047419649996945,7,9,0.04128440366972477,6.527477208419832,6-7 km,6-8 km
E02001045,E02006912,108,0,4,1,35,0,1,56,5,1,3,2,7965.9451030550445,0.01980347911791953,0.009259259259259259,0.030570018574594293,0.3028869359914068,3,4,0.037037037037037035,7.965945103055044,7-8 km,6-8 km
E02001045,E02006913,57,0,0,0,17,2,0,34,2,1,1,0,4432.745988953532,0.01893666651001041,0.017543859649122806,0.049355368748026186,0.3554600055505495,3,4,0.07017543859649122,4.432745988953532,4-5 km,4-6 km
E02001045,E02006914,25,0,2,0,10,1,0,10,0,0,2,0,8612.757640604708,0.01934561817991794,0,0.028418260501603322,0,1,1,0.04,8.612757640604709,8-9 km,8-10 km
E02001045,E02006915,25,0,0,0,4,0,0,13,4,2,2,0,4318.479609225792,0.02326436897802687,0.08,0.04183641118122875,1.9122099085758715,1,3,0.12,4.318479609225792,4-5 km,4-6 km
E02001045,E02006917,58,0,3,1,22,0,0,24,4,2,2,0,7809.638776505997,0.01747992990979834,0.034482758620689655,0.03453474592881092,0.9984946375969166,2,4,0.06896551724137931,7.809638776505997,7-8 km,6-8 km
E02001046,E02001042,12,0,0,1,4,0,1,5,1,0,0,0,4919.042740159428,0.01927941618463603,0,0.04636907742885972,0,1,1,0.08333333333333333,4.919042740159428,4-5 km,4-6 km
E02001046,E02001045,107,0,1,0,2,5,2,37,3,1,55,1,1838.2676097506728,0.01997425224640248,0.009345794392523364,0.05051735128299684,0.18500167081540905,5,6,0.056074766355140186,1.8382676097506727,1-2 km,0-2 km
E02001046,E02001046,153,0,1,1,21,6,0,56,4,1,63,0,0,0.0171186864588141,0.006535947712418301,0.013979399868044813,0.46754136616112346,2,3,0.0196078431372549,0,NA,NA
E02001046,E02001047,57,0,0,0,8,0,0,24,0,1,24,0,2290.402280775271,0.01805901526013794,0.017543859649122806,0.0557957942276064,0.314429786187048,3,4,0.07017543859649122,2.290402280775271,2-3 km,2-4 km
E02001046,E02001048,19,0,0,0,0,4,0,11,4,0,0,0,2252.617202655031,0.02161146162203772,0,0.048767132750549544,0,1,1,0.05263157894736842,2.2526172026550313,2-3 km,2-4 km
E02001046,E02001049,13,0,0,0,4,1,0,6,1,0,1,0,3635.9795111502094,0.0190809694035073,0,0.052234133133717636,0,1,1,0.07692307692307693,3.6359795111502096,3-4 km,2-4 km
E02001046,E02001050,234,0,0,0,34,12,1,99,24,1,62,1,1806.4466624829815,0.02022812165940625,0.004273504273504274,0.049899083916733304,0.08564294047232367,12,13,0.05555555555555555,1.8064466624829816,1-2 km,0-2 km
E02001046,E02001051,42,0,0,0,5,1,0,23,5,1,7,0,2568.04174739267,0.02091222910807926,0.023809523809523808,0.05036945194300376,0.4726976945563315,2,3,0.07142857142857142,2.56804174739267,2-3 km,2-4 km
E02001046,E02001052,79,0,0,1,22,0,0,37,6,2,10,1,3080.4018685443366,0.01816640404783074,0.02531645569620253,0.05557671697168481,0.4555226914375087,4,6,0.0759493670886076,3.0804018685443366,3-4 km,2-4 km
E02001046,E02001053,34,0,0,0,4,0,0,22,3,0,5,0,3027.401009991582,0.01766717795726703,0,0.05674540097849193,0,2,2,0.058823529411764705,3.027401009991582,3-4 km,2-4 km
E02001046,E02001055,46,0,0,0,9,0,2,23,10,1,1,0,4867.663160497958,0.02103226208281624,0.021739130434782608,0.04338240980786292,0.5011047226528772,2,3,0.06521739130434782,4.867663160497958,4-5 km,4-6 km
